伝票日付,号数,売番号,船名,船主名,問屋名,漁法名,船籍名,生冷区分,魚種名,単位,単価,個数,数量,金額,消費税,取引日
20120126,17,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1480 ,1,118.0 ,174640 ,8732 ,20120126
20120126,18,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1080 ,1,107.8 ,116424 ,5821 ,20120126
20120126,19,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,370 ,1,269.0 ,99530 ,4977 ,20120126
20120126,20,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,389 ,1,95.2 ,37033 ,1852 ,20120126
20120126,21,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1150 ,1,90.0 ,103500 ,5175 ,20120126
20120126,22,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,966 ,1,93.6 ,90418 ,4521 ,20120126
20120126,23,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,817 ,1,94.2 ,76961 ,3848 ,20120126
20120126,24,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1170 ,1,91.2 ,106704 ,5335 ,20120126
20120126,25,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1190 ,1,95.8 ,114002 ,5700 ,20120126
20120126,26,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,1250 ,1,95.6 ,119500 ,5975 ,20120126
20120126,27,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,789 ,1,91.8 ,72430 ,3622 ,20120126
20120126,28,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,997 ,1,128.0 ,127616 ,6381 ,20120126
20120126,29,1,８福洋丸,福洋水産㈱,福洋水産㈱,鮪延縄,地　元　　　,0:生,め　か,0:㎏,867 ,1,200.4 ,173747 ,8687 ,20120126
